orbital_period,transit_duration,planetary_radius,stellar_magnitude,transit_depth,impact_parameter,equilibrium_temperature,stellar_radius,stellar_mass,disposition_score,object_id,dataset,disposition
3.7354838,4.142,21.2315,11.0261,17030.0,,1670.0,1.57,,,1050.01,TESS,CANDIDATE
9.139804,3.0912936,3.0629855,9.0197,358.4157801,,1006.9932829,1.58,,,1052.01,TESS,CONFIRMED
5.742625,2.860293,13.088532,8.8849,1105.760867,,,3.86959,,,1053.01,TESS,FALSE_POSITIVE
15.5077855,4.565,2.43432,8.4362,513.0,,853.0,1.17,,,1054.01,TESS,CONFIRMED
17.4713078,4.4284819,3.5766828,8.0888,1199.7541483,,689.3568807,0.974669,,,1055.01,TESS,CONFIRMED
5.3079507,3.2158594,3.0486928,9.6663,391.3830934,,1263.9861129,1.36963,,,1056.01,TESS,CANDIDATE
51.1701501,6.6641048,2.9366826,9.4091,851.4547808,,466.7322968,0.943356,,,1057.01,TESS,CANDIDATE
11.1296441,7.0473822,12.8402271,9.3781,951.6169809,,1518.2372485,3.4475601,,,1058.01,TESS,CANDIDATE
9.4496506,2.021,17.0216,9.7825,19750.0,,694.0,0.94,,,1059.01,TESS,CANDIDATE
2.8493825,3.567,16.3869,10.3157,8049.0,,1864.0,1.77,,,106.01,TESS,CANDIDATE
0.540933,1.674337,2.28501,9.7345,257.347459,,,1.21935,,,1061.01,TESS,FALSE_POSITIVE
4.1150576,1.08,2.30057,9.478,487.0,,826.0,0.89,,,1062.01,TESS,CONFIRMED
10.0665238,2.4023189,2.7272824,9.0689,839.9044871,,694.1792631,0.791742,,,1063.01,TESS,CANDIDATE
6.4438657,1.9309449,2.460344,10.0059,1121.9512275,,712.2812841,0.737189,,,1064.01,TESS,CONFIRMED
12.2265595,2.1904379,2.6014766,10.0059,1206.3693293,,575.3502049,0.737189,,,1064.02,TESS,CONFIRMED
2.160344,1.828854,22.503541,13.2851,19357.992992,,,1.2,,,1065.01,TESS,CANDIDATE
4.606184,3.121643,12.962219,11.9707,13793.034867,,,1.07,,,1066.01,TESS,CANDIDATE
3.1316735,2.4579197,9.4995191,13.1686,14915.6943722,,890.5622134,0.76701,,,1067.01,TESS,CANDIDATE
3.180362,2.111521,13.446487,13.2887,21192.463324,,,0.92,,,1068.01,TESS,CANDIDATE
2.9776446,2.962,14.4339,10.4293,13022.0,,1461.0,1.22,,,1069.01,TESS,CANDIDATE
3.9502008,4.444,20.5357,9.6433,13914.0,,1570.0,1.71,,,107.01,TESS,CANDIDATE
2.9776152,3.25697,26.88423,15.7114,43218.111683,,1386.5,1.28,,,1070.01,TESS,FALSE_POSITIVE
3.5544026,2.0550535,13.200677,11.5803,10164.8753396,,1214.9876435,1.11499,,,1071.01,TESS,CANDIDATE
12.8379689,9.8464123,25.4886382,11.7106,10539.0192794,,1225.0,2.4494,,,1072.01,TESS,FALSE_POSITIVE
3.9228016,1.8736007,13.3368705,13.6699,31510.9004906,,788.0973496,0.6983,,,1073.01,TESS,CONFIRMED
13.9428705,3.7522756,2.4233421,10.6339,1015.395543,,587.1759148,0.741671,,,1074.01,TESS,CANDIDATE
0.6047392,1.0403847,1.8625587,11.1186,1027.6833479,,1222.5973095,0.580337,,,1075.01,TESS,CONFIRMED
2.5495611,2.6173308,12.9171288,11.2474,14921.4021936,,1337.8645148,1.03997,,,1076.01,TESS,CANDIDATE
1.6062693,1.9561305,12.6436029,13.461,16725.3019333,,1374.8018137,0.984326,,,1077.01,TESS,CANDIDATE
0.5182425,0.8565249,1.3485121,10.1165,831.8920424,,1019.3295979,0.390989,,,1078.01,TESS,CONFIRMED
3.1644075,2.0576293,14.8814743,13.1284,5603.4635466,,1747.9490013,1.7234,,,1079.01,TESS,CANDIDATE
3.0440541,2.5984575,12.1086799,13.163,22236.0165376,,1075.3184542,0.809868,,,108.01,TESS,CANDIDATE
3.9652485,1.0112593,1.2305102,12.7067,3680.7544436,,386.6684768,0.199988,,,1080.01,TESS,CANDIDATE
2.98278,3.109528,11.467011,11.5247,6136.231662,,,1.23975,,,1081.01,TESS,CANDIDATE
16.3469053,3.5865698,3.5059571,11.8835,2212.4257252,,441.7489067,0.649613,,,1082.01,TESS,CANDIDATE
12.9802953,2.5034417,2.4241912,12.0936,2407.2608671,,376.2093904,0.491323,,,1083.01,TESS,CANDIDATE
1.3484961,2.4074261,15.8824638,12.2851,18463.7636682,,1839.6713042,1.14759,,,1084.01,TESS,CANDIDATE
3.7178828,5.5277827,14.6986197,12.2303,4864.8405125,,1689.4116185,2.0840001,,,1086.01,TESS,CANDIDATE
9.30992,3.464,14.2968,9.4142,2220.0,,1067.0,3.09,,,1087.01,TESS,FALSE_POSITIVE
4.73703,3.902,25.7144,10.3918,2410.0,,4243.0,2.48,,,1089.01,TESS,FALSE_POSITIVE
2.76676,2.6872178,12.2867389,13.2366,14947.4387827,,1209.5741229,0.984866,,,109.01,TESS,CANDIDATE
2.19296,4.586,22.7769,10.0196,4933.74,,3722.0,2.95,,,1090.01,TESS,FALSE_POSITIVE
1.725841,3.674,15.0024,9.3529,2710.0,,4175.0,2.39,,,1091.01,TESS,CANDIDATE
1.1923,3.119,30.666,9.0039,3730.0,,3958.0,2.04,,,1092.01,TESS,FALSE_POSITIVE
11.47606,6.083,,10.0067,3050.0,,,,,,1093.01,TESS,FALSE_POSITIVE
1.4821386,2.1867078,13.7339261,10.4291,2102.6568299,,2962.2418039,2.6647301,,,1095.01,TESS,CANDIDATE
0.9209526,1.8602735,5.7349089,10.11,360.8801529,,3430.7622437,2.8908899,,,1096.01,TESS,FALSE_POSITIVE
9.188506,2.492,2.16591,8.7215,460.0,,786.0,0.98,,,1097.01,TESS,CONFIRMED
13.9028391,2.1264429,2.6136848,8.7215,647.2701039,,756.6987586,0.983215,,,1097.02,TESS,CONFIRMED
10.1826983,2.8275109,3.0538057,8.7581,667.4752458,,957.1991659,1.14582,,,1098.01,TESS,CONFIRMED
6.441006,1.812,2.56374,7.3661,914.0,,853.0,0.8,,,1099.01,TESS,CONFIRMED
3.1743504,2.751086,14.9172256,11.6714,15457.3247576,,1320.6518234,1.15706,,,110.01,TESS,CANDIDATE
20.0731588,3.8449215,4.0506906,10.5135,1152.9645461,,736.1368293,1.14849,,,1100.01,TESS,FALSE_POSITIVE
2.66903,1.548,9.36823,10.5891,3110.0,,1268.0,1.56,,,1101.01,TESS,FALSE_POSITIVE
6.63371,2.122,2.75375,10.5652,1555.34,,610.0,0.63,,,1102.01,TESS,FALSE_POSITIVE
2.94308,4.073,45.3525,10.5598,4490.0,,1976.0,3.13,,,1103.01,TESS,CANDIDATE
341.2811281,6.303026,4.7531892,7.5622,972.5797241,,846.173434,1.39203,,,1104.01,TESS,FALSE_POSITIVE
10.8680523,2.375,2.90726,10.2809,1553.0,,594.0,0.76,,,1105.01,TESS,CANDIDATE
11.1149,2.26,14.7645,10.0717,900.0,,603.0,4.94,,,1106.01,TESS,CANDIDATE
4.0782392,4.8475616,13.898174,10.0068,6046.6959687,,1617.8267296,1.74836,,,1107.01,TESS,CONFIRMED
7.14386,1.467,22.1531,9.941,11146.4,,,1.91,,,1108.01,TESS,FALSE_POSITIVE
7.04083,2.979,8.46404,9.7906,1580.0,,1505.0,0.91,,,1109.01,TESS,FALSE_POSITIVE
2.1061569,1.4688934,13.086872,13.183,12142.2238514,,1308.0417533,0.940697,,,111.01,TESS,CANDIDATE
2.4545635,2.321,11.1276,9.6789,4248.0,,1899.0,1.64,,,1110.01,TESS,FALSE_POSITIVE
