orbital_period,transit_duration,planetary_radius,stellar_magnitude,transit_depth,impact_parameter,equilibrium_temperature,stellar_radius,stellar_mass,disposition_score,object_id,dataset,disposition
1.65336,,1.51,,,,,0.545,,,EPIC 201619647.02,K2,CANDIDATE
5.28081,,10.9,,,,,3.01,,,EPIC 201626686.01,K2,CANDIDATE
440.0,,16.3,,,,,0.85,,,EPIC 201631267.01,K2,CANDIDATE
30.0,,22.8,,,,,0.89,,,EPIC 201635132.01,K2,CANDIDATE
,,24.9,,,,,0.6009,,,EPIC 201635132.02,K2,CANDIDATE
7.655533,,2.328,,,,,0.751,1.004,,EPIC 201639576.01,K2,CANDIDATE
27.770388,,25.1,,,,,0.71,,,EPIC 201649426.01,K2,FALSE_POSITIVE
0.25967056,,0.742,,,,,0.59,,,EPIC 201650711.01,K2,CANDIDATE
5.54583,,0.441,,,,,0.34,,,EPIC 201650711.02,K2,CANDIDATE
18.4502,,2.52,,,,,0.717,,,EPIC 201654498.01,K2,CANDIDATE
35.621,,1.89,,,,420.0,0.898,0.954,,EPIC 201663879.02,K2,CANDIDATE
4.1333,,1.2,,,,,0.312,,,EPIC 201666578.01,K2,CANDIDATE
1.9611469,,5.93,,,,,0.64,,,EPIC 201683540.01,K2,CANDIDATE
40.7362,,7.28,,,,529.0,0.85,,,EPIC 201702477.01,K2,CANDIDATE
18.10220826,,,,,,,2.04778,1.164,,EPIC 201705526.01,K2,CANDIDATE
0.60408352,,2.26,,,,,0.67,,,EPIC 201717159.01,K2,CANDIDATE
3.52743,,1.11,,,,,0.257,,,EPIC 201717274.01,K2,CANDIDATE
6340.0,,12.8,,,,,0.88,,,EPIC 201720401.01,K2,CANDIDATE
9.321691,,17.325,,,,,0.678,0.787,,EPIC 201729655.01,K2,CANDIDATE
6.662,,1.59,,,,,0.483,,,EPIC 201732557.01,K2,CANDIDATE
2.71578,,1.03,,,,,,0.67,,EPIC 201754305 d,K2,CONFIRMED
2.0478,,0.90819,,,,,0.655,0.727,,EPIC 201757695.02,K2,CONFIRMED
,,35.0,,,,,1.266,,,EPIC 201775904.01,K2,CANDIDATE
27.27048734,,,,,,,2.564,1.1,,EPIC 201779067.01,K2,FALSE_POSITIVE
1.39533316,,,,,,,0.424658,0.419014,,EPIC 201785059.01,K2,CANDIDATE
15.3791,,1.89,,,,,0.336,,,EPIC 201793642.01,K2,CANDIDATE
33.51569,,3.83,,,,613.0,0.71,,,EPIC 201828749.01,K2,CANDIDATE
3.96165,,1.48,,,,,0.634,,,EPIC 201833600 c,K2,CONFIRMED
6.97251,,2.01,,,,,0.6252,,,EPIC 201837434.01,K2,CANDIDATE
4.1698,,1.04,,,,,0.628461,0.802,,EPIC 201841433 b,K2,CONFIRMED
12.339133,,2.59,,,,,0.73,,,EPIC 201841433.01,K2,CANDIDATE
2.89465,,1.75,,,,,0.702,,,EPIC 201846824.01,K2,CANDIDATE
3.83794,,1.51,,,,,0.809,,,EPIC 201856786.01,K2,CANDIDATE
5.24086,,1.46,,,,,0.809,,,EPIC 201856786.02,K2,CANDIDATE
2790.0,,12.2,,,,,0.93,,,EPIC 201892470.01,K2,CANDIDATE
8.91058,,2.8,,,,,1.028,,,EPIC 201896171.01,K2,CANDIDATE
28.2692,,3.35,,,,,1.29,,,EPIC 201920032.01,K2,CANDIDATE
4.73172,,1.7,,,,,1.028,,,EPIC 201920032.02,K2,CANDIDATE
0.78214992,,1.29,,,,,0.79,,,EPIC 201923289.01,K2,CANDIDATE
15.4769,,2.89,,,,,0.66,,,EPIC 201925324.01,K2,CANDIDATE
6.45027,,2.29,,,,,0.894,,,EPIC 201927336.01,K2,CANDIDATE
1.19478,,1.65,,,,,0.235,,,EPIC 201928106.01,K2,FALSE_POSITIVE
,,,,,,,0.7,,,EPIC 201929294.01,K2,FALSE_POSITIVE
1.5771832,,33.4,,,,,1.94,,,EPIC 202059377.01,K2,FALSE_POSITIVE
