orbital_period,transit_duration,planetary_radius,stellar_magnitude,transit_depth,impact_parameter,equilibrium_temperature,stellar_radius,stellar_mass,disposition_score,object_id,dataset,disposition
11.37936986,2.6255,3.95,15.367,1023.5,0.911,806.0,1.015,1.007,1.0,K00787.02,KEPLER,CONFIRMED
26.39432897,3.573,3.07,15.234,1510.9,0.602,489.0,0.763,0.846,1.0,K00788.01,KEPLER,CONFIRMED
13.57078281,3.3539,2.64,12.882,511.7,0.866,785.0,1.012,0.951,1.0,K00116.01,KEPLER,CONFIRMED
7.12594387,3.0014,1.79,12.791,192.4,0.898,997.0,1.087,0.941,1.0,K00115.02,KEPLER,CONFIRMED
7.442652004,2.3078,15.03,15.27,24446.0,0.137,967.0,0.956,0.981,0.014,K00774.01,KEPLER,FALSE_POSITIVE
16.38489988,3.0249,2.0,15.095,1127.1,0.001,433.0,0.615,0.633,1.0,K00775.01,KEPLER,CONFIRMED
7.8774163,2.0805,2.16,15.095,1306.1,0.041,553.0,0.615,0.633,1.0,K00775.02,KEPLER,CONFIRMED
36.4454001,4.007,1.99,15.095,1122.3,0.028,332.0,0.615,0.633,1.0,K00775.03,KEPLER,CONFIRMED
3.728732147,2.683,6.02,15.523,5226.5,0.558,1023.0,0.809,0.907,1.0,K00776.01,KEPLER,CONFIRMED
40.4195037,3.362,7.51,15.487,6256.0,0.911,467.0,0.781,0.714,0.999,K00777.01,KEPLER,CANDIDATE
2.243380573,1.1196,1.99,15.135,821.7,0.915,822.0,0.564,0.578,1.0,K00778.01,KEPLER,CONFIRMED
10.405998015,6.5036,11.23,15.562,14489.0,0.324,833.0,0.924,0.77,0.0,K00779.01,KEPLER,FALSE_POSITIVE
2.337437946,1.9982,2.34,15.334,971.2,0.28,1070.0,0.765,0.85,1.0,K00780.01,KEPLER,CONFIRMED
7.2406612,0.558,19.45,15.334,556.4,1.198,734.0,0.765,0.85,0.993,K00780.02,KEPLER,CANDIDATE
3.43591631,3.133,0.55,12.791,23.2,0.624,1272.0,1.087,0.941,0.871,K00115.03,KEPLER,CANDIDATE
11.59822233,2.5237,2.65,15.937,2804.5,0.679,396.0,0.473,0.503,1.0,K00781.01,KEPLER,CONFIRMED
6.575315881,4.3084,5.31,15.312,2793.3,0.39,1015.0,0.989,0.927,1.0,K00782.01,KEPLER,CONFIRMED
7.275040844,7.5377,4.86,15.08,3001.0,0.547,833.0,0.867,0.986,1.0,K00783.01,KEPLER,CONFIRMED
19.27153892,2.7594,1.93,15.385,1219.8,0.031,393.0,0.56,0.576,1.0,K00784.01,KEPLER,CONFIRMED
10.06524317,1.369,1.91,15.385,1053.3,0.628,488.0,0.56,0.576,1.0,K00784.02,KEPLER,CONFIRMED
12.3935651,3.8896,2.66,15.505,916.6,0.883,677.0,0.75,0.832,1.0,K00785.01,KEPLER,CONFIRMED
43.84439721,6.802,2.87,12.882,615.2,0.852,531.0,1.012,0.951,0.998,K00116.02,KEPLER,CONFIRMED
3.341913228,3.813,21.55,15.629,725.3,1.213,1032.0,0.811,0.853,0.0,K00798.01,KEPLER,FALSE_POSITIVE
1.626630225,2.1145,32.43,15.279,1620.6,1.26,1547.0,0.973,0.889,0.773,K00799.01,KEPLER,FALSE_POSITIVE
2.711504086,3.0099,3.12,15.541,837.5,0.023,1420.0,1.076,1.169,1.0,K00800.01,KEPLER,CONFIRMED
7.21203748,4.0491,3.32,15.541,950.4,0.012,1025.0,1.076,1.169,1.0,K00800.02,KEPLER,CONFIRMED
14.1798187,2.505,1.88,15.727,459.9,0.1601,711.0,0.878,0.975,,K00789.01,KEPLER,FALSE_POSITIVE
8.47237911,2.7245,2.59,15.339,1123.5,0.022,751.0,0.788,0.884,1.0,K00790.01,KEPLER,CONFIRMED
60.4189369,5.039,2.36,15.339,931.3,0.094,390.0,0.788,0.884,0.989,K00790.02,KEPLER,CONFIRMED
12.611904345,5.1497,7.4,15.14,6105.6,0.55,753.0,0.919,0.992,1.0,K00791.01,KEPLER,CONFIRMED
1.433769925,1.8868,46.58,15.122,1976.3,1.268,1920.0,1.339,1.083,0.0,K00792.01,KEPLER,FALSE_POSITIVE
10.31872301,3.836,28.59,15.065,871.7,1.215,876.0,1.06,1.05,0.0,K00793.01,KEPLER,FALSE_POSITIVE
2.539183147,2.4282,2.06,15.026,382.1,0.238,1332.0,1.062,0.921,1.0,K00794.01,KEPLER,CONFIRMED
6.770300385,2.0844,2.77,15.591,1304.0,0.838,812.0,0.679,0.767,1.0,K00795.01,KEPLER,CONFIRMED
0.444291966,2.0792,27.51,15.748,10967.0,1.258,1836.0,0.636,0.709,0.0,K00796.01,KEPLER,FALSE_POSITIVE
10.181584004,3.5089,7.73,15.657,5741.1,0.92,812.0,0.836,0.885,1.0,K00797.01,KEPLER,CANDIDATE
20.06036336,3.3203,1.96,15.954,1494.7,0.556,361.0,0.493,0.502,1.0,K00812.02,KEPLER,CONFIRMED
46.1842039,4.758,1.83,15.954,1394.7,0.013,273.0,0.493,0.502,1.0,K00812.03,KEPLER,CONFIRMED
23.9800854,5.351,1.31,12.882,104.0,0.95,649.0,1.012,0.951,0.952,K00116.04,KEPLER,CONFIRMED
7.82502168,2.186,1.2,15.954,520.8,0.708,494.0,0.493,0.502,0.994,K00812.04,KEPLER,CONFIRMED
3.895936525,2.3111,7.34,15.725,8544.8,0.524,1005.0,0.774,0.866,1.0,K00813.01,KEPLER,CONFIRMED
22.36646466,5.228,2.32,15.583,986.8,0.4,536.0,0.734,0.821,0.999,K00814.01,KEPLER,CONFIRMED
1.625522174,2.38963,9.73,15.001,7969.0,0.076,1579.0,1.106,0.935,1.0,K00801.01,KEPLER,CONFIRMED
19.620346923,2.0038,13.6,15.562,21725.0,0.458,643.0,0.905,0.928,1.0,K00802.01,KEPLER,CANDIDATE
7.544039,6.222,17.47,15.559,322.6,1.175,838.0,0.824,0.919,0.0,K00803.01,KEPLER,FALSE_POSITIVE
9.02930689,3.1449,2.57,15.387,1019.8,0.024,757.0,0.82,0.824,1.0,K00804.01,KEPLER,CONFIRMED
10.328035714,7.7915,13.28,15.646,16918.0,0.281,843.0,1.024,0.874,0.053,K00805.01,KEPLER,FALSE_POSITIVE
143.2063047,8.9302,8.9,15.403,10566.0,0.379,308.0,0.867,0.986,1.0,K00806.01,KEPLER,CONFIRMED
6.164876,3.262,0.79,12.882,55.8,0.646,1021.0,1.012,0.951,0.95,K00116.03,KEPLER,CONFIRMED
60.32494216,6.6188,12.19,15.403,20280.0,0.224,411.0,0.867,0.986,0.745,K00806.02,KEPLER,CONFIRMED
